"TOA5","CR1000XSeries","CR1000X","3654","CR1000X.Std.02.00","CPU:DraftMasterprogram_30m_1secScan_DailyValuesDraft_PR1.CR1X","64063","Main"
"TIMESTAMP","RECORD","Batt_volt_Min","PTemp","AirTemp_Avg","RH_Avg","DewPt_Avg","Wind_Speed_m_s","Wind_Direction_deg","Wind_Direction_STD","WindGust_at_15m_Max","WindSpeed_at_2m_Avg","WindSpeed_at_2m_Max","WindSpeed_at_10m_Avg","WindSpeed_at_10m_Max","Stn_Baro_kpa_Avg","MSL_Baro_kpa_Avg","Precip_mm_Tot","RainRate_hrmax_Max","RainRate_hrmax_TMx","Snow_Depth_m_Avg","SR50A_SignalQuality_Avg","SnowFall_past6h","SnowFall_past24h","CO2_conc_Avg","CO2_conc_Std","SR01up_Avg","SR01down_Avg","IR01up_Avg","IR01down_Avg","NR01TC_Avg","NR01TK_Avg","NetRS_Avg","NetRl_Avg","Albedo_Avg","UpTot_Avg","DnTot_Avg","NetTot_Avg","IR01upCo_Avg","IR01downCo_Avg","VWC_20cm_Avg","VWC_40cm_Avg","VWC_60cm_Avg","VWC_80cm_Avg","VWC_100cm_Avg","BulkEC_20cm_Avg","BulkEC_40cm_Avg","BulkEC_60cm_Avg","BulkEC_80cm_Avg","BulkEC_100cm_Avg","SoilTemp_20cm_Avg","SoilTemp_40cm_Avg","SoilTemp_60cm_Avg","SoilTemp_80cm_Avg","SoilTemp_100cm_Avg","SwMatricPot_Tension_Avg","SwMatricPot_Temp_Avg"
"TS","RN","V","°C","°C","%","","m/s","Deg","Deg","m/s","m/s","m/s","m/s","m/s","","","mm","","","m","","","","ppm","ppm","W/m²","W/m²","W/m²","W/m²","°C","K","W/m²","W/m²","%","W/m²","W/m²","W/m²","W/m²","W/m²","m³/m³","m³/m³","m³/m³","m³/m³","m³/m³","dS/m","dS/m","dS/m","dS/m","dS/m","°C","°C","°C","°C","°C","kPa","°C"
"","","Min","Smp","Avg","Avg","Avg","WVc","WVc","WVc","Max","Avg","Max","Avg","Max","Avg","Avg","Tot","Max","TMx","Avg","Avg","Smp","Smp","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-12-14 15:30:00",6,13.62,6.227,4.903,99.7,4.86,1.141,145.4,22.6,3.341,0.528,1.272,0.783,1.976,100.4,101.2,0,0,"2018-12-14 15:00:01",0.007,174.7,"NAN","NAN",536.2,7.238,96.6,8.72,-5.908,-5.38,4.953,278.1,87.8,-0.528,0.091,90.7,3.345,87.3,333.3,333.8,0.204,0.274,0.286,0.279,0.216,0.051,0.071,0.06,0.037,0.04,1.09,2.62,3.7,4.517,5.71,-12.5,1.4
"2018-12-14 16:00:00",7,13.61,6.355,4.828,99.8,4.808,0.347,103.4,86.8,1.871,0.433,1.107,0.51,1.203,100.5,101.3,0,0,"2018-12-14 15:30:01",0.005,179.6,"NAN","NAN",543.6,7.032,32.18,2.751,-1.175,-5.288,4.892,278,29.43,4.113,0.08,31,-2.537,33.54,337.7,333.6,0.204,0.275,0.286,0.279,0.216,0.051,0.071,0.06,0.038,0.04,1.09,2.623,3.7,4.527,5.71,-12.5,1.4
"2018-12-14 16:30:00",8,13.62,5.946,4.459,100,4.459,0.233,29.24,81.6,0.908,0.26,0.698,0.297,0.826,100.5,101.3,0,0,"2018-12-14 16:00:01",0.008,192.4,"NAN","NAN",544.8,7.201,10.26,0.427,-1.451,-7.067,4.65,277.8,9.83,5.617,0.013,8.81,-6.64,15.45,336.2,330.6,0.204,0.274,0.286,0.279,0.216,0.052,0.07,0.06,0.038,0.04,1.097,2.6,3.7,4.543,5.707,-12.5,1.4
"2018-12-14 17:00:00",9,13.62,5.463,4.086,100,4.085,0.261,260.5,42.49,2.672,0.118,0.631,0.2,0.546,100.5,101.3,0,0,"2018-12-14 16:30:01",0.009,189.9,"NAN","NAN",555.6,8.17,0.999,-0.134,-0.824,-7.295,4.452,277.6,1.133,6.471,-0.186,0.175,-7.429,7.604,335.9,329.4,0.204,0.275,0.286,0.279,0.216,0.051,0.071,0.06,0.036,0.04,1.093,2.597,3.7,4.523,5.7,-12.5,1.4
"2018-12-14 17:30:00",10,13.64,5.061,3.975,100,3.974,0.489,266.8,41.95,2.512,0.263,0.714,0.428,1.516,100.5,101.3,0,0,"2018-12-14 17:00:01",0.002,182,"NAN","NAN",549,11.8,-0.004,0.115,-0.831,-7.507,4.445,277.6,-0.119,6.675,"INF",-0.835,-7.392,6.557,335.9,329.2,0.204,0.275,0.286,0.279,0.216,0.051,0.07,0.06,0.037,0.04,1.087,2.623,3.7,4.533,5.7,-12.5,1.4
"2018-12-14 18:00:00",11,13.64,4.802,3.907,100,3.905,0.179,284.3,20.71,1.11,0.076,0.549,0.074,0.579,100.6,101.3,0,0,"2018-12-14 17:30:01",0.001,175.4,"NAN","NAN",531.6,8.12,-0.003,0.143,-0.328,-7.24,4.439,277.6,-0.146,6.911,"NAN",-0.332,-7.097,6.766,336.3,329.4,0.204,0.275,0.286,0.279,0.215,0.05,0.071,0.061,0.037,0.04,1.083,2.603,3.7,4.52,5.7,-12.5,1.4
"2018-12-14 18:30:00",12,13.64,4.622,3.802,100,3.8,0.29,254.9,37.19,1.406,0.053,0.499,0.347,0.631,100.6,101.3,0,0,"2018-12-14 18:00:01",0.002,170.7,-0.01,"NAN",529.5,6.872,0.078,0.25,-0.392,-7.226,4.386,277.5,-0.172,6.833,"NAN",-0.314,-6.975,6.662,336,329.2,0.204,0.274,0.286,0.279,0.215,0.052,0.072,0.06,0.036,0.039,1.09,2.607,3.7,4.53,5.7,-12.5,1.4
"2018-12-14 19:00:00",13,13.65,4.506,3.91,100,3.908,0.274,216.9,22.48,1.076,0.133,0.648,0.302,0.595,100.6,101.3,0,0,"2018-12-14 18:30:01",0.001,181,-0.02,"NAN",543.1,8.1,0.188,0.254,-0.282,-7.228,4.453,277.6,-0.066,6.946,"NAN",-0.094,-6.974,6.88,336.4,329.5,0.205,0.275,0.286,0.279,0.215,0.051,0.07,0.06,0.036,0.04,1.077,2.623,3.7,4.513,5.7,-12.5,1.4
"2018-12-14 19:30:00",14,13.65,4.417,3.908,100,3.907,0.438,231.8,47.88,1.118,0.19,0.796,0.414,0.727,100.5,101.3,0,0,"2018-12-14 19:00:01",-0.002,170,-0.01,"NAN",542.9,7.354,-0.618,0.185,-3.149,-8.71,4.433,277.6,-0.803,5.557,0.283,-3.767,-8.52,4.754,333.5,327.9,0.205,0.275,0.286,0.279,0.215,0.051,0.071,0.06,0.038,0.04,1.087,2.613,3.7,4.513,5.7,-12.5,1.4
"2018-12-14 20:00:00",15,13.65,3.843,3.114,100,3.112,0.323,223.4,38.81,1.609,0.079,0.499,0.242,0.611,100.5,101.3,0,0,"2018-12-14 19:30:01",-0.003,172.1,-0.01,"NAN",546.9,8.23,-2.767,0.371,-10.22,-11.44,3.781,276.9,-3.138,1.22,-0.141,-12.99,-11.07,-1.918,323.3,322,0.205,0.274,0.286,0.279,0.215,0.05,0.071,0.06,0.036,0.04,1.087,2.617,3.7,4.513,5.7,-12.5,1.4
"2018-12-14 20:30:00",16,13.67,2.935,2.25,100,2.247,0.267,277.1,34.06,1.084,0.162,0.565,0.416,0.743,100.5,101.3,0,0,"2018-12-14 20:00:01",-0.003,169.9,-0.01,"NAN",543.7,7.92,-2.937,1.205,-11.82,-9.8,2.958,276.1,-4.141,-2.02,-0.415,-14.76,-8.59,-6.161,317.7,319.7,0.205,0.274,0.286,0.279,0.216,0.051,0.071,0.06,0.036,0.04,1.087,2.603,3.7,4.523,5.7,-12.5,1.4
"2018-12-14 21:00:00",17,13.7,2.483,2.292,100,2.289,0.552,253.4,25.33,1.701,0.409,0.829,0.524,1.087,100.6,101.3,0,0,"2018-12-14 20:30:01",-0.002,170.6,-0.01,"NAN",558.1,7.3,-0.995,0.686,-6.247,-8.65,3.027,276.2,-1.68,2.405,-0.408,-7.242,-7.967,0.725,323.6,321.2,0.206,0.274,0.286,0.279,0.216,0.051,0.071,0.06,0.037,0.04,1.07,2.597,3.7,4.51,5.7,-12.5,1.4
"2018-12-14 21:30:00",18,13.7,2.181,2.569,100,2.566,0.991,257.8,26.7,3.027,0.517,0.992,0.706,2.535,100.6,101.3,0,0,"2018-12-14 21:00:01",-0.002,174.1,-0.01,"NAN",533.5,14.39,-1.606,1.02,-9.17,-10.36,3.335,276.5,-2.625,1.186,-0.725,-10.78,-9.34,-1.44,322.2,321,0.206,0.274,0.286,0.279,0.216,0.05,0.07,0.06,0.035,0.04,1.083,2.607,3.7,4.52,5.7,-12.5,1.4
